what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318523715220
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318523716425
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318523718755
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318523718767
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318524714042
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318524716772
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318524727833
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318524731988
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318524732100
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318524734235
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318524743844
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.file.save",1318524756813
executed,command,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1318524806458
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318524839505
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318524839868
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318524840215
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318524840521
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318524840999
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.undo",1318524841480
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318524853849
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318525001261
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318525006183
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318525008157
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318525014347
executed,command,org.eclipse.debug.ui,3.6.0.v20100601-1530,"org.eclipse.debug.ui.commands.OpenRunConfigurations",1318525014357
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318525016628
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318525071155
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318525077777
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.copy",1318525085931
executed,command,org.eclipse.ui,3.6.0.I20100603-1100,"org.eclipse.ui.edit.paste",1318525087668
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318525089400
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318525089482
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318525098693
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318525098719
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318525103904
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318525129665
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318533828699
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318533828986
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318533829059
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318533830522
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318597255734
deactivated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318597258060
activated,workbench,org.eclipse.ui.workbench,3.6.0.I20100603-1100,"",1318602469155
